stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
shp_510-0-0,,stop shp_510-0-0,,15.636546,32.323212,,,,,,,
shp_510-0-1,,stop shp_510-0-1,,15.646154,32.419630,,,,,,,
shp_511-0-0,,stop shp_511-0-0,,15.648390,32.297678,,,,,,,
shp_511-0-1,,stop shp_511-0-1,,15.646382,32.419547,,,,,,,
shp_512-0-0,,stop shp_512-0-0,,15.656468,32.352058,,,,,,,
shp_512-0-1,,stop shp_512-0-1,,15.651862,32.419564,,,,,,,
shp_514-0-1,,stop shp_514-0-1,,15.648565,32.335228,,,,,,,
shp_516-0-0,,stop shp_516-0-0,,15.608094,32.634100,,,,,,,
shp_53-0-0,,stop shp_53-0-0,,15.593172,32.521621,,,,,,,
shp_53-0-1,,stop shp_53-0-1,,15.549736,32.497672,,,,,,,
shp_546-0-0,,stop shp_546-0-0,,15.593103,32.530666,,,,,,,
shp_546-0-1,,stop shp_546-0-1,,15.497230,32.777860,,,,,,,
shp_547-0-0,,stop shp_547-0-0,,15.619264,32.591472,,,,,,,
shp_547-0-1,,stop shp_547-0-1,,15.239936,33.079942,,,,,,,
shp_548-0-0,,stop shp_548-0-0,,15.619273,32.591479,,,,,,,
shp_548-0-1,,stop shp_548-0-1,,15.482498,33.501021,,,,,,,
shp_55-0-0,,stop shp_55-0-0,,15.593172,32.521621,,,,,,,
shp_55-0-1,,stop shp_55-0-1,,15.535574,32.508135,,,,,,,
shp_553-0-1,,stop shp_553-0-1,,15.503537,32.699272,,,,,,,
shp_554-0-0,,stop shp_554-0-0,,15.597447,32.516492,,,,,,,
shp_554-0-1,,stop shp_554-0-1,,15.613627,32.724529,,,,,,,
shp_555-0-0,,stop shp_555-0-0,,15.610580,32.730360,,,,,,,
shp_556-0-0,,stop shp_556-0-0,,15.649734,32.643956,,,,,,,
shp_556-0-1,,stop shp_556-0-1,,15.615814,32.641239,,,,,,,
shp_557-0-0,,stop shp_557-0-0,,15.641460,32.625289,,,,,,,
shp_557-0-1,,stop shp_557-0-1,,15.613430,32.640839,,,,,,,
shp_558-0-0,,stop shp_558-0-0,,15.649693,32.638893,,,,,,,
shp_558-0-1,,stop shp_558-0-1,,15.613460,32.640799,,,,,,,
shp_559-0-0,,stop shp_559-0-0,,15.597619,32.517592,,,,,,,
shp_559-0-1,,stop shp_559-0-1,,15.608712,32.661766,,,,,,,
shp_56-0-0,,stop shp_56-0-0,,15.593172,32.521621,,,,,,,
shp_56-0-1,,stop shp_56-0-1,,15.517342,32.515821,,,,,,,
shp_560-0-0,,stop shp_560-0-0,,15.618488,32.592240,,,,,,,
shp_560-0-1,,stop shp_560-0-1,,15.664736,32.633305,,,,,,,
shp_561-0-0,,stop shp_561-0-0,,15.575392,32.628950,,,,,,,
shp_562-0-0,,stop shp_562-0-0,,15.613303,32.644059,,,,,,,
shp_562-0-1,,stop shp_562-0-1,,15.652111,32.686870,,,,,,,
shp_564-0-0,,stop shp_564-0-0,,15.622853,32.534616,,,,,,,
shp_564-0-1,,stop shp_564-0-1,,15.635477,32.639029,,,,,,,
shp_565-0-0,,stop shp_565-0-0,,15.672079,32.535074,,,,,,,
shp_565-0-1,,stop shp_565-0-1,,15.242601,33.151690,,,,,,,
shp_566-0-0,,stop shp_566-0-0,,15.617214,32.593680,,,,,,,
shp_567-0-0,,stop shp_567-0-0,,15.618965,32.591692,,,,,,,
shp_569-0-0,,stop shp_569-0-0,,15.282596,32.963602,,,,,,,
shp_569-0-1,,stop shp_569-0-1,,15.428078,32.835524,,,,,,,
shp_57-0-0,,stop shp_57-0-0,,15.593188,32.521613,,,,,,,
shp_57-0-1,,stop shp_57-0-1,,15.514404,32.521765,,,,,,,
shp_570-0-0,,stop shp_570-0-0,,15.597508,32.516867,,,,,,,
shp_570-0-1,,stop shp_570-0-1,,15.653720,32.689888,,,,,,,
shp_571-0-0,,stop shp_571-0-0,,15.622867,32.534315,,,,,,,
shp_571-0-1,,stop shp_571-0-1,,15.653720,32.689888,,,,,,,
shp_572-0-0,,stop shp_572-0-0,,15.618752,32.591940,,,,,,,
shp_573-0-0,,stop shp_573-0-0,,15.619038,32.591669,,,,,,,
shp_574-0-0,,stop shp_574-0-0,,15.618485,32.592243,,,,,,,
